    k     n             Re[I(theta1)]             Im[I(theta1)]
    3    77    5.3739833404293259e+19    1.3044610895244684e+14
    3    78    1.0020359733826247e+20    2.4013241856476150e+14
    3    79    1.8684990307770073e+20    4.4214402685025319e+14
    3    80    3.4843727287730995e+20    8.1426890042835575e+14
    3    81    6.4979760729089796e+20    1.4998953013479435e+15
    3    82    1.2118615283231406e+21    2.7633825876331950e+15
    3    83    2.2602105766849426e+21    5.0922075633205120e+15
    3    84    4.2156588013009198e+21    9.3854324080184800e+15
    3    85    7.8632537679130956e+21    1.7301499513307386e+16
    3    86    1.4667600292733608e+22    3.1900147800530380e+16
    3    87    2.7361218532269640e+22    5.8827367871065672e+16
    3    88    5.1042397028979904e+22    1.0850312463396437e+17
    3    89    9.5223824084934012e+22    2.0016104815813024e+17
    3    90    1.7765555234651247e+23    3.6930893901192659e+17
    3    91    3.3145933061083996e+23    6.8150883611853606e+17
    3    92    6.1844303567741889e+23    1.2578333736856975e+18
    3    93    1.1539496210387410e+24    2.3218986809924086e+18
    3    94    2.1532348149430017e+24    4.2867737770237235e+18
    3    95    4.0180288444267255e+24    7.9155970296222351e+18
    3    96    7.4981053847916031e+24    1.4618449115579912e+19
    3    97    1.3992863242574171e+25    2.7001144626036765e+19
    3    98    2.6114272490106125e+25    4.9879842852925293e+19
    3    99    4.8737730724441551e+25    9.2157103340595216e+19
    4     0   -1.4611363654246389e-10   -1.7305005483935726e-15
    4     1    4.1394883756165201e-04    5.0162536596454479e-07
    4     2    7.0238696838985405e-03    2.1892777185666805e-06
    4     3    3.9167132756422883e-02    5.6730858968327922e-06
    4     4    1.4137811167460537e-01    1.2196855949784087e-05
    4     5    4.0786044216495670e-01    2.4058872954073979e-05
    4     6    1.0314502423756502e+00    4.5390199587897720e-05
    4     7    2.3991492687953593e+00    8.3555835932477233e-05
    4     8    5.2765534501156681e+00    1.5165818975108761e-04
    4     9    1.1161648035243379e+01    2.7300275433676411e-04
    4    10    2.2960369203823827e+01    4.8906584324515893e-04
    4    11    4.6271835348069672e+01    8.7372254004594889e-04
    4    12    9.1826104980763219e+01    1.5586791953204303e-03
    4    13    1.8009645977047145e+02    2.7789822447123417e-03
    4    14    3.5000774508476542e+02    4.9545378983471798e-03
    4    15    6.7534956293338951e+02    8.8362904471278175e-03
    4    16    1.2956654807192751e+03    1.5768611902148920e-02
    4    17    2.4743125692947951e+03    2.8160759097506330e-02
    4    18    4.7074733110351262e+03    5.0334797916915947e-02
    4    19    8.9286470084715002e+03    9.0052038918964683e-02
    4    20    1.6891944973991049e+04    1.6126342311987873e-01
    4    21    3.1890044301503200e+04    2.8906961150538091e-01
    4    22    6.0098205053797959e+04    5.1867367293800171e-01
    4    23    1.1308900886529106e+05    9.3155342533942376e-01
    4    24    2.1253552223234336e+05    1.6746986269121571e+00
    4    25    3.9900398732637789e+05    3.0135078287551673e+00
